Lot-ID,Wafer-NO,P1_6_max,P1_6_std,P1_7_max,P1_7_std,P1_8_max,P1_8_std,P1_11_min,P1_11_std,P1_12_min,P1_12_std,P1_15_max,P1_15_std,P2_6_max,P2_6_std,P2_7_max,P2_7_std,P2_8_max,P2_8_std,P2_11_min,P2_11_std,P2_12_min,P2_12_std,P2_15_max,P2_15_std,Yield
1549,1,604,1.048808848,-103,1.264911064,2397,1.549193338,2047,0,989,32.43249399,-45,1.211060142,552,0.833929611,-97,1.378022993,1395,2.270172727,1148,6.831403236,896,3.958446443,-102,1.259350989,0
1549,2,603,0.674199862,-100,1.361816968,2403,2.493628244,2047,0,936,121.2907851,-49,5.515268064,552,0.787053634,-82,3.486045394,1398,2.847582763,1104,9.077732684,865,9.160613412,-92,2.397103748,0
1549,4,604,0.904534034,-99,1.53741223,2403,2.427119505,2047,0,770,154.212722,-47,6.410219114,552,0.796016316,-85,2.949157653,1395,2.485948163,1060,7.773530586,822,4.476171479,-78,0.634647759,0
1549,6,604,1.164500153,-98,2.490892502,2400,1.732050808,2047,0,1020,130.0028846,-46,10.92120539,552,0.674076371,-95,2.093708763,1395,2.46169455,1097,6.741949233,897,8.597794945,-98,2.07473584,0
1549,7,604,0.854850414,-74,8.881391832,2461,16.47192083,2047,0,573,148.548083,-42,15.15560318,552,0.783116597,-70,3.963880129,1398,3.055404037,1119,11.27067373,857,11.18158208,-91,1.696219471,0
1549,8,604,0.877058019,-100,2.145358735,2403,3.34549065,2047,0,749,176.1492665,-49,10.90577358,552,0.855398923,-84,2.693087111,1398,3.140364083,1093,9.03844598,863,8.472908894,-90,2.580470973,0
1559,12,604,1.0749677,-68,2.131770261,2400,1.702938637,2047,0,489,121.7166564,-34,3.900142448,552,0.837330979,-58,2.718186874,1398,2.898334463,1120,60.29829556,777,62.1606416,-97,4.859201668,0
1564,2,604,0.603022689,66,37.22128749,2448,14.57582058,1992,17.03917056,456,149.7245957,-29,16.73025747,552,0.677571117,-35,3.778867705,1395,2.601358762,1053,62.74947804,768,52.76350075,-98,5.302354525,0
1565,21,604,0.751067616,-52,4.133974309,2406,3.497251668,2018,8.742029337,440,179.9315397,-29,8.994300189,552,0.799390011,-47,4.068918476,1398,3.036364964,1069,45.02776921,723,36.48203701,-91,4.894372079,0
1571,1,604,0.674199862,17,25.48653834,2451,16.33679617,2047,0,560,109.0966211,-31,14.76543876,552,0.683398103,-62,1.326300969,1402,3.481003105,1089,4.805923751,889,3.436522997,-97,1.63609999,0
1571,2,604,0.621581561,-49,6.022055423,2467,19.87441632,2047,0,611,90.89687797,-33,12.66676635,552,0.754455859,-45,2.412013229,1398,2.789879278,1060,8.920041852,857,4.247036615,-90,2.440897018,0
1571,3,604,0.943879807,-67,0.646669791,2406,2.802596199,1928,47.2823242,420,92.01304255,-28,3.655630775,552,0.684055075,-60,1.60584599,1398,2.903755784,1094,53.06883374,869,15.49094207,-109,3.727244519,0
1571,4,604,0.887625365,-15,15.33539182,2406,2.860387768,2047,0,523,173.5031875,-32,10.46603453,552,0.819515063,41,11.59932948,1395,3.169297153,876,21.44176725,650,18.02984494,-39,4.456719161,0
1571,5,604,0.630425172,12,22.46706992,2432,10.42556031,1938,38.10208959,410,169.7024545,-28,12.75709958,552,0.648392567,-62,1.411385132,1398,3.293703819,1092,55.6390896,872,18.80026728,-107,1.792796479,0
1571,6,603,0.632455532,-68,1.190874392,2403,3.23615934,2047,0,774,141.0801191,-30,7.501514999,552,0.674935534,-62,1.279772033,1395,3.076014806,1068,3.907129964,873,7.119137606,-98,1.740753147,0
1571,7,604,0.877058019,-23,12.84922426,2426,8.125616347,2047,0,421,139.3808654,-27,11.62501723,552,0.665610978,-60,1.662648109,1398,3.328054892,1098,6.416146069,842,12.45965641,-96,1.542591523,0
1571,8,604,0.751067616,40,30.21164659,2474,20.778132,2047,0,586,188.7655241,-33,19.3234944,552,0.641162157,-48,1.986802946,1398,2.837243389,1065,6.782440453,866,3.106715573,-91,2.044786586,0
1590,5,604,0.753778361,-48,1.676486224,2400,1.477097892,1976,26.27289766,414,159.8155186,-23,7.609304512,552,0.612120943,-26,3.981001917,1402,4.044877036,1055,78.90472518,705,30.13326875,-82,4.819055122,0
1593,1,604,0.797724035,31,26.21054033,2454,16.33178719,2047,0,531,154.2456718,-28,15.30795,552,0.722109023,59,13.46089431,1398,2.959181771,932,22.9363632,733,22.88126816,-67,4.606575793,0
1593,2,603,0.674199862,-59,1.083624669,2403,2.00567377,2047,0,536,104.4075276,-29,4.938255121,552,0.713282504,-55,1.693900306,1395,2.528261312,1118,8.421901273,905,5.046381368,-100,2.199641119,0
1593,3,604,0.904534034,-58,1.414213562,2400,1.566698904,1981,21.22748361,417,151.2333888,-24,6.27344089,551,0.618093499,-55,1.870523576,1398,2.708434315,1132,57.32458519,958,13.77673131,-114,3.715275555,0
1593,4,603,0.674199862,-56,1.293339581,2403,2.944949452,2047,0,541,151.6913733,-28,4.354725751,552,0.695838709,-52,1.921682491,1398,3.043002052,1036,11.52656881,800,7.022868826,-76,2.560675912,0
1593,10,604,0.809039835,-59,1.221027883,2403,1.809068067,2047,0,544,213.3453027,-30,8.509887298,552,0.694672629,-52,1.754498174,1398,3.07354598,1111,9.939340973,907,9.742375254,-97,2.314107231,0
1594,16,603,0.621581561,-60,1.055289706,2403,2.153221688,2047,0,428,161.066968,-24,5.910314559,552,0.910137322,-46,6.526630005,1395,3.247624568,1028,120.3058303,752,80.04477568,-83,15.17195641,0
1612,1,604,0.750757194,-48,0.674199862,2403,1.809068067,1818,94.28515742,416,131.0343466,-20,5.164564577,552,0.682048293,-45,1.201001692,1398,3.295926715,994,6.657583475,804,4.745400838,-82,1.304265155,0
1612,2,604,0.792961461,-48,0.668557923,2403,2.261335084,2047,0,349,76.21078226,-17,6.157035887,552,0.609594077,-44,1.077691864,1395,2.918861608,971,6.71712387,722,10.76458241,-75,1.269052334,0
1612,3,604,0.753778361,62,32.4508953,2467,19.60673972,2047,0,564,139.2430837,-21,19.03326434,552,0.684934889,-19,3.410334649,1398,2.87153428,971,8.8832977,760,19.31730015,-72,2.681783036,0
1612,4,604,0.797724035,-49,0.668557923,2403,2.98861476,2047,0,622,112.9380026,-19,8.357087357,552,0.547722558,-40,1.589898669,1398,3.087809564,998,1.93991536,785,3.884243257,-82,1.134068389,0
1612,5,604,0.900336637,-49,1.114640858,2403,1.809068067,1788,105.0323183,401,117.2762861,-21,7.023769169,552,0.652168458,9,6.623482538,1395,2.530661121,894,10.20048945,658,8.513879771,-58,2.312007331,0
1612,6,604,0.904534034,-47,1.328019715,2403,2.062654953,2047,0,667,112.4100448,-20,7.853198538,552,0.586919548,-45,1.135836017,1398,3.588285165,989,11.81346539,777,10.40047251,-78,2.948340726,0
1612,7,604,0.924416278,-51,1.420627262,2403,2.802596199,1922,48.57646269,467,84.32469713,-22,4.083225107,552,0.711560226,-42,1.676793604,1398,3.498498901,1008,3.400532361,792,2.41481372,-79,1.655186241,0
1612,8,604,0.688737232,-47,2.121320344,2435,10.44398981,1873,74.06589235,449,109.5996795,-23,10.77687458,552,0.726483157,-43,1.573605595,1395,2.791245131,1012,6.388961352,797,4.024155459,-81,1.64072402,0
1627,1,604,0.792961461,71,34.09834262,2458,17.07980377,1721,128.2359331,352,147.2726805,-18,19.18865669,552,0.734322879,-5,5.426884243,1398,2.897098978,977,53.3740591,698,41.94167059,-76,3.586060452,0
1630,4,604,0.725011052,18,19.17296441,2445,13.15587029,1748,123.0536156,363,166.8573012,-18,12.40967365,552,0.688036572,-43,2.997618547,1395,2.899550582,1074,72.45948882,764,69.21939663,-85,8.996218399,0
1639,7,604,0.726483157,-198,1.732050808,2406,3.041381265,1952,35.86122945,402,76.27271975,-20,2.223610677,552,1.08735037,-91,37.72902495,1395,2.503005712,920,123.2969499,713,50.16971822,-67,10.70286777,0
1642,1,604,1,-97,3.095695937,2413,11.03026141,2047,0,888,8.421203398,-22,0.816496581,552,0.533899134,-100,0.842984407,1398,2.036627641,1142,2.633071768,940,2.484986554,-102,1.051773315,0
1642,2,604,0.753778361,-103,0.797724035,2410,6.76667413,2047,0,900,99.90825337,-23,6.186495557,552,0.709938269,-100,1.106797181,1398,1.846919357,1126,5.319774431,912,3.285255125,-98,1.864880097,0
1642,3,603,0.660225292,-100,1.690850188,2461,17.70049978,1978,23.56360732,406,186.8047795,-21,11.50640847,552,0.564916082,-100,0.915469302,1398,3.144852457,1158,70.31204743,924,23.50865316,-112,5.560291187,0
1642,4,603,0.668557923,-100,1.928651594,2416,6.383572667,2047,0,548,189.1095562,-25,8.897990921,551,0.614636297,-7,10.76595858,1395,2.082333093,957,18.2367151,718,14.95076281,-56,2.871206569,0
1642,6,603,0.651338947,-103,0.668557923,2422,7.202693099,2047,0,819,150.381006,-24,7.505553499,552,0.546539303,-101,0.948619815,1395,1.579423928,1134,2.271406914,941,5.433025468,-102,1.888051783,0
1642,7,603,0.640512615,-35,19.43199846,2470,19.51856447,2047,0,427,171.3391449,-20,17.03728942,552,0.507694484,-98,0.953369277,1395,1.992193436,1106,6.261875198,836,10.76216286,-87,1.278690613,0
1642,8,603,0.452267017,-101,0.753778361,2422,6.639528096,2047,0,900,159.93313,-22,9.885327358,552,0.611665184,-102,0.662589156,1398,2.816184353,1132,4.931387101,924,4.327805522,-98,1.692038142,0
1667,1,603,0.816496581,-55,0.40824829,2400,1.224744871,2047,0,860,24.41652446,-20,1.048808848,552,0.63853258,-51,0.512322523,1395,2.397024813,1133,4.514728687,964,4.136966373,-103,1.583298857,0
1667,2,604,0.668557923,-48,2.329000306,2464,18.79958091,2047,0,895,82.67951085,-22,11.66287817,552,0.623226111,44,11.00664797,1395,2.201646231,928,25.13311377,720,25.76287562,-60,5.51116324,0
1667,3,603,0.751067616,-48,2.2303271,2442,11.75715821,2006,12.47921349,407,180.0230754,-19,10.91282473,552,0.523463324,-51,0.860750427,1395,2.352035003,1148,66.05760628,984,12.25998109,-110,4.571029309,0
1667,4,603,0.674199862,-56,0.452267017,2413,5.184475661,2047,0,526,165.8966454,-23,6.200562047,552,0.7387117,20,8.270425698,1395,3.092272796,975,16.7252609,750,12.15495265,-66,3.876509877,0
1667,5,604,0.577350269,-41,4.274661071,2400,3.171845844,2030,4.907477288,417,157.6117929,-20,8.753787059,552,0.561217758,-51,0.769898142,1395,2.040577526,1131,58.36987628,943,14.9062967,-108,2.739189971,0
1667,6,604,0.854850414,47,29.02187504,2470,20.79910008,2047,0,721,154.6962284,-23,18.0629242,552,0.647604704,44,11.01037429,1395,2.37999407,928,25.50784249,727,36.93835672,-59,5.637449568,0
1667,7,603,0.518874522,-52,1.652503928,2416,5.35652011,2047,0,425,160.4802887,-19,8.820866868,552,0.669208593,-52,1.035939541,1398,2.363959483,1098,5.597452298,854,12.74787727,-88,1.705464761,0
1667,8,603,0.522232968,-55,0.288675135,2419,5.107184482,2047,0,870,157.966337,-21,9.146534366,552,0.490960136,-52,0.671728749,1398,1.662596657,1130,4.783603935,944,1.183801134,-99,1.596254273,0
1684,1,603,0.752772653,-82,1.366260102,2403,3.098386677,2047,0,717,14.71620422,-21,0.816496581,552,0.595896196,-81,0.785419071,1395,2.022261614,1144,2.518557237,952,3.05486401,-98,0.938833353,0
1684,2,604,0.426401433,-83,0.577350269,2406,3.165869118,2047,0,758,99.60087014,-21,5.882691612,552,0.590005689,22,12.25566128,1395,1.849896494,917,27.23781289,701,27.39683879,-45,6.587978673,0
1684,3,604,0.869718493,-80,1.3634421,2448,12.89454267,2008,12.0910011,413,178.5059074,-19,12.19709928,552,0.670270297,-79,1.066869899,1395,1.888490313,1156,61.94729841,960,15.76918733,-108,4.771061013,0
1684,4,604,0.668557923,-77,2.46182982,2403,1.864744682,2047,0,523,179.1690204,-23,7.761599335,552,0.547722558,-80,1.012422837,1395,2.371708245,1059,10.00024691,841,4.489115781,-72,2.963564754,0
1684,5,603,0.492365964,-75,2.774341309,2406,2.378884383,2005,12.78582311,414,150.6775355,-19,8.225514629,552,0.691665678,-7,8.405041656,1392,1.460016625,1120,64.72540384,749,26.18917256,-85,4.428290426,0
1684,6,603,0.522232968,10,27.61573443,2470,20.78224038,2047,0,803,136.2943561,-22,19.40712147,552,0.596295745,19,11.16588777,1395,1.712600448,911,24.2086629,708,27.48584441,-45,6.568251943,0
1684,7,604,0.725011052,-60,7.389354783,2464,18.27952477,2047,0,427,158.5415096,-18,10.95093955,552,0.561217758,-81,0.66948366,1395,1.62967069,1148,4.113930038,903,11.39147634,-97,1.472420348,0
1684,8,604,0.800640769,-15,19.86396041,2477,21.71168892,2047,0,543,220.3310155,-24,15.54274503,552,0.610556536,-83,0.502328214,1395,1.41804094,1136,4.615622895,946,1.897398336,-95,1.452499948,0
1706,1,602,0.40824829,-77,0.547722558,2397,1.224744871,2047,0,624,20.93561559,-21,0.752772653,552,0.623365943,-74,0.50323628,1398,2.119869868,1133,3.805911508,954,2.443552762,-97,0.804337184,0
1706,2,603,0.621581561,-72,1.969463856,2470,21.02379604,2047,0,654,100.2998535,-22,12.26475611,552,0.504272621,27,11.40461272,1395,2.364197727,937,24.09949079,730,24.62770978,-59,4.772969787,0
1706,3,604,0.514928651,-76,0.866025404,2406,4.330127019,2014,10.09950494,404,117.9598031,-19,3.592922336,552,0.680966775,-72,1.314970664,1395,2.631457944,1150,58.92237121,946,16.01249136,-106,4.464605357,0
1706,4,604,0.674199862,-52,7.42793662,2416,4.962739957,2047,0,517,180.5869219,-22,9.364666022,552,0.550519177,10,9.509943448,1395,1.908474894,960,17.13401223,740,15.578941,-61,2.482003882,0
1706,6,603,0.577350269,23,28.26794869,2474,21.23223239,2047,0,805,116.9918362,-21,15.77201351,552,0.58081787,-34,4.686467097,1395,1.75380029,1096,6.246832874,937,6.423697129,-89,1.75514022,0
1706,7,604,0.759554525,-47,8.801951998,2445,13.20984481,2047,0,435,157.9928593,-18,11.14185916,552,0.549691271,-73,0.904378922,1398,2.13762589,1104,5.048377077,861,11.43311197,-88,1.227890895,0
1706,8,603,0.492365964,-77,0.83484711,2416,6.426153947,2047,0,546,201.9051683,-23,8.809430209,552,0.60969286,-74,0.729636737,1395,1.918389116,1134,4.799816819,954,2.768629923,-94,1.35422877,0
1726,1,604,0.767947648,13,16.054794,2477,22.72240507,2047,0,520,199.0755558,-21,13.23263255,552,0.522455694,-42,0.425935745,1395,2.033593213,1127,5.252148583,960,2.108327933,-92,1.290936137,0
1726,2,604,0.577350269,-40,1.864744682,2464,18.61796949,2047,0,728,76.96201346,-20,9.949874371,552,0.529895196,-42,0.845485024,1398,2.27987543,1132,4.42774641,947,1.279455715,-92,1.943805547,0
1726,3,603,0.668557923,-46,0.389249472,2403,1.544785952,2017,9.323723408,408,154.350521,-17,6.278872703,552,0.661479477,-32,1.575040405,1398,2.568543176,1145,63.00754891,888,18.33942231,-102,4.855932084,0
1726,4,604,0.621581561,-46,0.668557923,2406,1.954016842,2047,0,508,158.1858085,-21,5.107184482,552,0.571473778,-43,0.745874731,1392,1.492385738,1053,8.883208452,845,7.191063371,-71,1.98247863,0
1726,6,604,0.776250026,28,21.22317311,2438,12.03467213,2047,0,693,152.1361991,-20,13.97295923,552,0.565695814,42,9.564941126,1395,1.743212352,950,21.98464722,754,29.3268438,-61,4.583986231,0
1726,7,604,0.650443636,-12,9.70527216,2445,11.71291201,2047,0,430,164.4168405,-17,10.81250463,552,0.581378192,-43,0.55215763,1395,1.901717951,1107,5.834772051,861,13.83860273,-81,1.858920565,0
1726,8,604,0.53935989,-46,0.603022689,2438,12.7514705,2047,0,543,121.5650967,-21,3.562430223,552,0.540026877,-45,0.609569378,1395,1.871190801,1133,5.540521664,949,1.524466725,-91,1.819339712,0
1727,1,604,0.862316499,-30,4.603510366,2464,19.24671134,2047,0,692,84.15774261,-19,10.85156257,552,0.498896814,41,9.302283126,1395,2.305750519,964,20.86977379,757,21.26266196,-60,4.366846754,0
1727,2,604,0.651338947,-46,0.389249472,2406,2.393172106,2047,0,739,87.74532708,-20,4.494946658,552,0.548553517,50,11.14688351,1395,1.768815977,930,25.35230458,715,25.76920668,-54,5.315632665,0
1727,4,603,0.467099366,-47,0.632455532,2406,2.460598597,2047,0,517,142.6536174,-21,4.404543109,551,0.540393601,45,9.942577531,1395,1.697421351,926,19.91388157,705,18.70331825,-50,3.246782246,0
1727,6,604,0.778498944,-47,0.389249472,2445,14.61837781,2047,0,735,135.2556222,-20,6.2830942,552,0.550692135,-43,0.56906231,1395,1.869846724,1126,4.43250224,933,6.759784106,-91,1.269109007,0
1727,7,604,0.994490316,23,19.0182099,2480,23.12745383,2047,0,421,151.1028505,-17,15.08437806,552,0.631246336,52,10.66775787,1395,2.226255849,930,21.87407527,684,27.0613467,-40,5.365374782,0
1727,8,604,0.577350269,-45,0.792961461,2429,8.440522747,2047,0,708,168.5745047,-20,8.906926144,552,0.631711685,48,10.29356063,1395,1.690060136,930,24.81412535,720,25.59373707,-53,5.200420427,0
1743,1,603,0.752772653,-45,0,2400,1.643167673,2047,0,854,24.45744604,-19,0.547722558,552,0.519615242,-42,0.472952651,1395,2.032369631,1123,4.509405376,960,2.933024306,-93,1.307200034,0
1743,2,604,0.53935989,-44,0.873862898,2403,2.773248833,2047,0,886,84.95699447,-20,3.823373094,552,0.603642582,54,10.80039561,1395,1.933815269,936,24.13245845,730,25.14766849,-55,5.186529491,0
1743,4,603,0.668557923,-45,0.288675135,2403,1.544785952,2047,0,504,161.4533191,-20,6.997835163,552,0.567221685,-7,4.284802243,1395,2.114602732,1010,10.3761824,800,10.62347993,-68,1.028720362,0
1743,6,604,0.832050294,46,25.71166552,2438,12.78119612,2047,0,681,142.7775749,-21,16.51766731,551,0.53141122,-43,0.778418871,1395,1.55646019,1135,3.888015145,961,8.111440968,-90,1.38035416,0
1743,7,604,0.767947648,-5,11.52811502,2435,10.86632059,2047,0,427,152.0907287,-17,10.61083143,552,0.528187688,-5,4.654779026,1395,1.878418293,1023,11.18993719,776,16.50011178,-67,2.45047298,0
1743,8,603,0.650443636,-40,2.218800785,2442,12.4668792,2047,0,857,146.7553782,-19,9.111840705,552,0.582406671,-43,0.561358581,1395,2.173706512,1140,3.783288464,950,2.185177338,-92,1.888398629,0
1747,1,603,0.547722558,-41,0,2400,1.224744871,2047,0,571,37.86114983,-19,0.547722558,552,0.607231758,-38,0.514040076,1395,1.754975015,1066,11.0347544,828,9.425718779,-73,2.402976211,0
1770,1,602,0.377964473,-45,0.534522484,2400,1.133893419,2047,0,601,30.79424807,-21,0.899735411,552,0.730252298,-43,0.499269184,1392,2.064207895,1144,4.844950727,962,2.480629272,-92,1.55605006,0
1770,2,604,0.621581561,-36,2.712205856,2445,12.49818169,2047,0,632,86.47104963,-21,10.67246528,552,0.613541001,-40,0.885279756,1398,2.118513332,1141,5.041496916,946,2.597892407,-87,1.9986772,0
1770,3,604,0.767947648,-41,1.386750491,2429,7.395424781,1965,28.61817604,394,119.2660783,-17,7.420519023,552,0.511984693,79,14.52050517,1395,2.17522686,1003,78.50023051,636,47.62542743,-43,10.01637939,0
1770,4,603,0.651338947,-46,0.389249472,2403,1.167748416,2047,0,497,165.1005892,-20,6.939129279,552,0.69716693,30,8.262534001,1398,2.066055793,986,14.34829749,767,14.57725375,-59,1.636618145,0
1770,6,603,0.514928651,-46,0.603022689,2400,1.544785952,2047,0,734,143.8562782,-21,7.083912632,552,0.545261521,-43,0.530106271,1395,2.445319735,1091,23.76859698,888,26.95281566,-83,3.757187205,0
1770,7,604,0.577350269,-10,10.25882984,2458,17.0071629,2047,0,427,162.8568665,-18,10.37501931,552,0.646198677,-6,4.527351818,1398,2.344299267,1030,11.32039474,782,16.7896705,-64,2.562759129,0
1770,8,604,0.633323694,49,25.70072903,2474,20.47029475,2047,0,617,192.5352116,-21,16.95890314,551,0.516549505,49,10.39617801,1395,1.949479462,931,25.55341044,722,25.76920098,-48,5.147229925,0
1793,1,603,0.786795792,-46,0,2403,1.463850109,2047,0,552,31.9568161,-24,1.618347187,552,0.612581686,-44,0.528736742,1395,1.576484751,1145,4.440962314,972,2.827339431,-86,1.876847461,0
1793,2,604,0.493548117,-39,2.177978362,2461,17.35341539,2047,0,583,123.7561705,-24,9.739557195,552,0.487878337,-41,0.595309317,1395,1.510760697,1148,4.959252121,962,1.350438812,-84,2.901406632,0
1793,3,604,0.725011052,-40,2.145358735,2432,8.442110564,2016,8.811414509,408,131.1864987,-20,9.234134002,552,0.610291849,-36,1.29038278,1395,2.200598005,1165,74.84274508,897,21.63289811,-94,6.83617827,0
1793,4,604,0.603022689,-47,0,2403,2.022599587,2047,0,511,148.0508512,-24,5,552,0.584992479,-43,0.758074074,1395,1.686869424,1078,6.763390479,873,6.238135381,-69,0.755188816,0
1793,6,604,0.707106781,34,22.95843513,2451,13.77567533,2047,0,733,143.3686748,-24,9.996794358,552,0.518260356,-41,0.849748001,1395,1.897080913,1100,24.32270746,898,27.80889314,-80,3.909161253,0
1793,7,604,0.776250026,-5,12.07243098,2467,19.16761425,2047,0,425,151.7431196,-20,8.89756521,552,0.68612032,-5,4.614717923,1395,1.895832694,1034,11.42886109,787,17.11791228,-64,2.543306947,0
1793,8,603,0.514928651,-47,0.514928651,2432,11.21247952,2047,0,584,174.444812,-25,5.789227195,552,0.631526448,-45,0.613140263,1395,1.457621778,1148,5.784978315,961,1.647313106,-84,2.957314512,0
1813,1,603,0.836660027,-90,1.169045194,2400,1.549193338,2047,0,553,21.7201903,-27,1.169045194,552,0.529059832,-43,0.253478871,1392,1.508689798,1159,4.288071805,987,2.846494168,-85,2.778690516,0
1813,2,604,0.487950036,-47,0,2400,1.603567451,2047,0,573,31.43701185,-28,2.058663459,552,0.590601281,-42,0.778230095,1395,1.849939043,1151,7.335180846,958,2.722173079,-80,4.062832979,0
1813,3,604,0.751067616,-44,0.832050294,2451,16.31029249,2029,4.992301766,413,128.4193352,-22,8.499622918,552,0.587558699,-44,0.706979363,1395,1.638720661,1172,71.74583015,969,18.07056239,-93,5.966966121,0
1813,4,604,0.778498944,-46,0.651338947,2403,1.864744682,2047,0,511,158.4576227,-27,6.111960455,552,0.472042848,-44,0.582929916,1395,1.523083451,1089,6.29024232,882,7.803056096,-68,0.637222405,0
1813,6,603,0.767947648,45,25.77192868,2470,19.34703317,2047,0,684,131.0348848,-27,13.15392113,552,0.76834982,47,10.08320946,1395,1.849896494,952,22.35116837,749,24.43353648,-43,5.520563447,0
1813,7,604,0.577350269,-12,9.982035145,2451,13.84807679,2047,0,438,157.2268082,-24,9.762565867,552,0.65208362,-1,5.008602649,1395,1.4158749,1044,10.91234813,798,16.41652229,-61,2.42010144,0
1813,8,603,0.389249472,-47,0.514928651,2435,12.00757337,2047,0,547,197.0963462,-29,6.810753529,552,0.724896217,27,16.2507614,1395,1.721202331,1009,21.5704323,804,20.84109279,-55,5.497751788,0
1831,1,603,0.755928946,-45,0,2400,2.360387377,2047,0,487,21.05887439,-33,2.563479778,552,0.592733395,-41,0.48384708,1398,2.066974966,1172,3.164816406,983,2.810973517,-82,2.429807494,0
1831,2,604,0.577350269,-39,2.015094554,2480,22.36000217,2047,0,561,100.9318702,-34,7.900901368,552,0.516514387,49,10.24905163,1392,1.505185256,954,25.94203171,741,26.71708479,-35,7.86222066,0
1831,3,604,0.668557923,-45,0.577350269,2426,7.444745961,2047,0,419,120.3505927,-26,6.022684391,552,0.604660264,-32,1.644715088,1398,2.021073191,1180,81.27477652,900,26.86429509,-86,5.817140432,0
1831,4,604,0.603022689,-35,3.284490644,2403,1.544785952,2047,0,552,159.924035,-35,6.08276253,552,0.56906231,42,9.562790313,1395,1.921467262,972,16.57191206,749,17.5895509,-44,2.925211376,0
1831,6,603,0.660225292,-28,5.253814243,2419,5.0076864,2047,0,741,144.3395214,-34,6.429100507,552,0.611622181,-41,0.956134592,1395,1.948801028,1154,4.082314947,963,4.870343606,-76,2.901153418,0
1831,7,603,0.755928946,50,25.81219151,2474,24.78977545,2047,0,438,146.4069483,-31,12.79422947,552,0.599490429,52,10.7499701,1395,1.95015766,956,21.11509398,712,25.67248911,-29,5.734015204,0
1831,8,603,0.467099366,-46,0.603022689,2416,5.344495894,2047,0,569,194.3331254,-37,6.493353245,552,0.587558699,-44,0.39455757,1398,2.243549312,1164,4.174439597,978,2.218919468,-77,3.888073703,0
1855,1,604,0.632455532,-42,0.40824829,2400,1.549193338,2047,0,569,21.51666021,-45,1.471960144,551,0.597056829,-40,0.800848701,1398,1.912548603,1171,4.319973514,985,2.395327898,-84,2.160863408,0
1855,2,603,0.522232968,-41,0.820199532,2406,2.022599587,2047,0,586,108.0143088,-44,4.429241675,552,0.601585208,48,10.51433595,1395,1.681835732,964,25.03255583,752,25.64106912,-29,9.399654323,0
1855,3,603,0.514928651,-42,0.668557923,2416,6.082139775,2047,0,417,122.9778251,-31,5.291502622,552,0.547040665,-25,2.084314926,1395,2.195418794,1181,71.92360213,897,23.94586424,-78,4.637561671,0
1855,4,604,0.776250026,47,25.35921418,2467,18.542052,2047,0,546,142.199661,-47,6.370001811,552,0.616079825,-40,1.051876344,1395,1.6932834,1100,7.696800682,886,7.173003018,-62,1.299306094,0
1855,6,604,0.753778361,-45,0.514928651,2416,4.323999271,2047,0,694,158.791363,-47,6.161955612,552,0.753871387,-40,0.818174397,1398,2.574941977,1165,3.676533266,986,4.959044726,-73,5.702719603,0
1855,7,604,0.869718493,-21,6.606135454,2442,11.81101181,2047,0,449,161.2252764,-39,6.462911942,552,0.568545685,3,5.139859964,1395,1.701756193,1058,10.66649066,813,15.89180654,-50,3.763661568,0
1855,8,603,0.492365964,-42,0.792961461,2438,10.75625259,2047,0,565,190.1599606,-51,6.097068347,552,0.643219095,-41,0.624695048,1395,1.751499551,1170,4.956130947,982,2.04937546,-79,3.338929359,0
1883,1,602,0.377964473,-43,0.487950036,2403,2.360387377,2047,0,839,36.3082045,-59,1.154700538,552,0.63853258,-41,0.556451014,1392,1.849423993,1181,3.506316924,996,2.095710556,-97,2.955699338,0
1883,2,604,0.640512615,-39,1.386750491,2445,12.58203848,2047,0,844,108.179279,-54,5.141585109,552,0.563874761,-39,0.752115246,1395,2.272696284,1172,6.378339963,977,3.440523575,-86,3.394737591,0
1883,3,603,0.504524979,-44,0.467099366,2406,1.940009372,2047,0,413,90.66652184,-43,4.556713329,552,0.542714284,-41,0.696430172,1402,2.866812641,1196,79.55580562,978,28.13888833,-97,3.569116801,0
1883,4,604,0.832050294,27,20.18599413,2442,12.39882128,2047,0,542,162.6117367,-68,3.184497706,551,0.522993941,47,10.05800732,1398,2.256373646,953,19.42827033,729,20.89454919,-28,7.028056225,0
1883,6,604,0.651338947,-40,1.78376517,2426,7.716079237,2047,0,740,154.4306013,-63,4.923659639,552,0.611141535,-30,1.706859032,1395,1.816092721,1155,3.236162563,972,4.452899421,-71,9.239218958,0
1883,7,603,0.630425172,-33,3.548202868,2470,19.98493022,2047,0,439,152.8169678,-56,7.26247821,552,0.612526078,4,5.329054856,1395,2.00304646,1057,10.78028496,815,16.71261958,-48,7.131576243,0
1883,8,604,0.869718493,-22,6.639045344,2474,22.21110833,2047,0,840,153.4288861,-64,5.019193929,552,0.613508478,-43,0.377793719,1395,2.109470194,1162,7.10218147,976,3.994123959,-96,2.477115981,0
